"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","25","25","21","6","1","0","0","0","0","0","0","0","0","0","0","2","Martin, Melissa","80"
"ACTG","355","Business Law I","2656","Accounting","13","21","17","7","2","0","0","0","0","0","0","0","0","0","0","0","Scully, George","60"
"ACTG","445","Federal Income Tax I","2656","Accounting","24","67","13","1","0","0","0","0","0","0","0","0","0","0","0","1","Savor, Stephanie Sikes","106"
"ACTG","502","Financial Accounting I","2656","Accounting","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mc Donagh, Eamonn Michael","10"
"ACTG","516","Financial Statement Analysis","2656","Accounting","13","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Ramakrishnan, Ram T S","27"
"AH","275","South Asian Visual Cultures","2910","Art History","5","9","3","1","2","0","0","0","0","0","0","0","0","0","0","2","Becker, Catherine","22"
"AHS","102","Intro Clinical Research","2797","Applied Health Sciences Admin","18","19","7","2","2","0","0","0","0","0","0","0","0","0","0","3","Wescott, Jennifer J","51"
"ANTH","105","Human Evolution","2841","Anthropology","154","81","24","1","8","0","0","0","0","0","0","0","0","0","0","6","Sacks, Lita","274"
"ANTH","239","Stress & Black American Health","2841","Anthropology","10","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Spencer, Taylor Marie","15"
"ARAB","230","Arabic Literature in Tran","2349","Classics & Mediterran Studies","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","Aburqayeq, Ghassan","19"
"ARCH","205","Architectural Studio 3","2911","School of Architecture","15","38","31","4","1","0","0","0","0","0","0","0","0","0","0","0","Materia, Barbara","89"
"ARCH","365","Architectural Studio 5","2911","School of Architecture","22","21","12","1","0","0","0","0","1","0","0","0","0","0","0","1","Marullo, Francesco","58"
"ARCH","561","Architectural Technology I","2911","School of Architecture","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Frye, Christopher Allen","13"
"ART","101","Signifying Practices","2583","Art","17","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Bernblum, Iris R","20"
"ART","140","Introduction to Sculpture","2583","Art","17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Peterman, Dan","18"
"ART","160","Intro:Digital Photo(GEN ED)","2583","Art","11","3","2","0","2","0","0","0","0","0","0","0","0","0","0","2","Washington, Zuri Aqeela","20"
"ART","170","Introduction to Filmmaking","2583","Art","29","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","38"
"ART","260","Topics in Digital Photography","2583","Art","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","Miller, Nathan A","20"
"ART","270","Topic/Film: IMAGING THE UNSEEN","2583","Art","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","3","Mueller, Eileen","20"
"ART","530","Advanced Graduate Critique","2583","Art","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Young, Nathaniel James","20"
"BA","101","Business First-Year Seminar","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","126","16","1","Jimenez, Andrea","143"
"BA","494","Resp Mgmt for BBA Online","2785","Business Administration Admini","25","9","1","0","3","0","0","1","0","0","2","0","0","0","0","0","Atchley, Cindy J","41"
"BCMG","595","Student Research Seminars","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","Moser, Bettina Anita","21"
"BHIS","510","Health Care Info Systems","2318","Biomed & Health Info Sciences","7","31","0","1","0","0","0","0","0","0","0","0","0","0","0","3","Czart, Margaret B","42"
"BIOS","196","Biology Colloquium","2453","Biological Sciences","56","11","5","1","1","0","0","0","0","0","0","0","0","0","0","1","Nelson, Karin Noel","75"
"BIOS","331","Ecology Laboratory","2453","Biological Sciences","70","11","1","3","4","0","0","0","0","0","0","0","0","0","0","6","Ale, Som Bahadur","95"
"BIOS","437","Tropical Ecology","2453","Biological Sciences","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Gonzalez-Meler, Miquel Angel","19"
"ACTG","355","Business Law I","2656","Accounting","12","21","12","4","2","0","0","0","0","0","0","0","0","0","0","5","Leahy, Edward","56"
"AHS","101","Rehab Sci Student Success","2797","Applied Health Sciences Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","20","4","2","Wescott, Jennifer J","26"
