"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AH","100","Intro to Art &Art History","2910","Art History","34","19","10","6","1","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","72"
"AH","259","Eighteenth-Century Art","2910","Art History","9","14","10","0","7","0","0","0","0","0","0","0","0","0","0","1","Dubin, Nina","41"
"AHS","200","Intro Integrated Health","2797","Applied Health Sciences Admin","29","5","3","2","0","0","0","0","3","0","0","0","0","0","0","1","Alve, Mohammad Yeasir Arafat","43"
"AHS","304","Sexuality and Health","2797","Applied Health Sciences Admin","26","11","3","2","4","0","0","0","2","0","0","0","0","0","0","0","Bengtsson, Helene Strange","48"
"ANTH","102","Intro to Archaeology","2841","Anthropology","215","100","20","4","4","0","0","0","0","0","0","0","0","0","0","8","LaMotta, Vincent","351"
"ANTH","233","Forensic Anthropology","2841","Anthropology","11","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Sacks, Lita","20"
"ANTH","594","Data Collection Mixed Methods","2841","Anthropology","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Starkweather, Kathrine Elizabeth","13"
"ARCH","440","Digital Design and Fabrication","2911","School of Architecture","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bair, Kelly","11"
"ARCH","563","Architectural Technology III","2911","School of Architecture","8","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Frye, Christopher Allen","20"
"ART","212","Topics in Drawing I","2583","Art","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sanders, Luke Anthony","20"
"ART","340","Sculpture:Public Intervention","2583","Art","15","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Majeed, Faheem","17"
"ASP","085","Boosting Academic Success","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","Mann, Jon","11"
"ASP","096","Independent Study","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","59","0","0","Ramirez, Elizabeth","59"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","91","15","7","0","3","0","0","0","0","0","0","0","0","0","0","1","Anderson, Stephanie Leigh","117"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","53","2","1","0","4","0","0","0","0","0","0","0","0","0","0","0","Soriano, Diana Ethel","60"
"BA","101","Business First-Year Seminar","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","68","6","0","Alford, James Gearld","74"
"BA","101","Business First-Year Seminar","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","67","4","1","Whittington, James","72"
"BA","200","Business Communication","2785","Business Administration Admini","104","7","1","0","1","0","0","0","0","0","0","0","0","0","0","5","Bailey, Lisa","118"
"BA","200","Business Communication","2785","Business Administration Admini","17","37","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Schraufnagel, William","59"
"BA","200","Managerial Comm BBA Online","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","Hardy, Florence","31"
"BA","520","Improvisation and Leadership","2785","Business Administration Admini","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rodriguez, Paul","13"
"BCMG","595","Student Research Seminars","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","Segev, Nava","26"
"BHIS","499","Info Sources in BHIS","2318","Biomed & Health Info Sciences","38","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Mills, Laura Lynn","52"
"BIOS","484","Neuroscience I","2453","Biological Sciences","59","30","19","11","0","0","0","0","0","0","0","0","0","0","0","2","Richmond, Janet Elizabeth","121"
"BIOS","524","Mol Bio Principles & Methods","2453","Biological Sciences","8","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Polikanov, Yury S","11"
"BIOS","531","Ecology and Evolution I","2453","Biological Sciences","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hampton-Marcell, Jarrad Timothy","14"
"BIOS","539","Ecology  & Evolution Seminar","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","34","3","0","Poretsky, Rachel S","37"
"ACTG","417","Adv Financial Accounting","2656","Accounting","14","23","5","2","1","0","0","0","0","0","0","0","0","0","0","1","Norden, Mark","46"
"ACTG","500","Intro Financial Actg","2656","Accounting","28","43","16","0","0","0","0","0","0","0","0","0","0","0","0","1","Balachandran, Sudhakar V","88"
