"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","326","Cost Accounting","2656","Accounting","5","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Jastrzebski, Ronald J","12"
"AH","160","Trends in Contemp Art","2910","Art History","9","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","16"
"ART","280","Collab Printmaking Print Shop","2583","Art","15","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","Estrada, William","18"
"BA","200","Managerial Communication","2785","Business Administration Admini","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Banks, Jacinta","17"
"BHIS","505","Ethics&Legal Issues/Hlth Info","2318","Biomed & Health Info Sciences","46","6","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Swirsky, Eric S","54"
"BIOS","325","Human Embryology","2453","Biological Sciences","52","16","4","1","0","0","0","0","0","0","0","0","0","0","0","1","Bassett, Andrea Louise","74"
"BIOS","326","Embryology Laboratory","2453","Biological Sciences","50","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Bassett, Andrea Louise","60"
"BIOS","350","General Microbiology","2453","Biological Sciences","42","26","11","1","3","0","0","0","0","0","0","0","0","0","0","1","Mills, Michael","84"
"CHEM","234","Chemical Synthesis","2458","Chemistry","6","12","8","2","1","0","0","0","0","0","0","0","0","0","0","2","Yermolina, Maria V","31"
"CI","429","Sec Sci Ed in Urban Settings","2783","Curriculum and Instruction","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Nishimura, Marlynne K","10"
"CLER","603","Pediatrics","2905","Pediatrics","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","Boucher-Berry, Claudia C","24"
"CLER","616","Obstetrics and Gynecology","2264","Obstetrics & Gynecology","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","Lee, Thomas Gregory","11"
"CLER","619","Surgery","2848","Surgery","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","Alley, Robin A","15"
"CLJ","200","Law and Society","2909","Criminology, Law, and Justice","6","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","Matoesian, Greg","12"
"COMM","101","Intro to Communication","2493","Communication","8","2","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Puig Abril, Eulalia","15"
"COMM","460","Visual Communication","2493","Communication","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","1","Page, Janis Teruggi","11"
"DAOB","341","Applied Oral and Behav Sci IX","2758","Dentistry Administration","41","32","0","0","0","0","0","45","0","0","0","0","0","0","0","0","Ward, Stephanie M","118"
"ECON","520","Microecon for Business","2525","Economics","22","19","11","3","1","0","0","0","0","0","0","0","0","0","0","1","Adams, Vangeliya Pavlova","57"
"EDPS","453","Topics in Ed Policy Studies","2835","Educational Policy Studies","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Miller, Christopher L.","13"
"ENGL","161","Academic Writing II","2492","English","10","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","Magoon, Mark","16"
"FIN","320","Managerial Finance","2691","Finance","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thewissen, James","18"
"FIN","449","Applied Equity Investment Mgmt","2691","Finance","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wightkin, John","11"
"HON","222","Honors Activity","2310","Honors College","0","0","0","0","0","0","0","26","0","0","0","0","0","9","0","0","McCloud, Stacie Lynn","35"
"IDS","410","Bus Database Technology","2672","Information/Decision Sciences","9","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Choi, Michael","24"
"IPHS","699","Research PH Sciences-DrPH","2592","School of Public Health","0","0","0","0","0","0","0","0","0","0","1","0","0","20","0","0","Petros, Michael Peter","21"
"JD","423","Prof Responsibility","2984","UIC Law","12","25","10","0","0","0","0","0","1","0","0","0","0","0","0","0","Bernabe, Alberto","48"
"LAW","596","Independent Study Law","2984","UIC Law","7","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","Bess, Megan","11"
"MATH","220","Differential Equations I","2610","Math, Statistics, & Comp Scnc","12","9","10","2","1","0","0","0","0","0","0","0","0","0","0","2","Protsak, Victor","36"
"ACTG","470","Ethical Environment Business","2656","Accounting","8","12","9","0","0","0","0","0","0","0","0","0","0","0","0","0","Scully, George","29"
"BA","200","Managerial Communication","2785","Business Administration Admini","16","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Wang, Jie","22"
"BA","420","Professional Presence","2785","Business Administration Admini","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Souri, Ranjit J","17"
"BHIS","406","Medical Terminology for HIM","2318","Biomed & Health Info Sciences","18","16","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Mills, Laura Lynn","38"
"BHIS","561","Programming for Hth Analytics","2318","Biomed & Health Info Sciences","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Maharathi, Biswajit","15"
"BSTT","413","Intro to Data Analysis w/ R","2891","Epidemiology and Biostatistics","14","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","Awadalla, Saria Salah","18"
"CI","481","Foundations Bilingual/ESL Ed","2783","Curriculum and Instruction","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Tanabe, Margaret Ann","13"
"CME","494","Geomatics Engineering","2737","Civil, Matls & Env Engineering","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","Peiravian, Farideddin","18"
"COMM","103","Intro to Media","2493","Communication","5","10","13","7","3","0","0","0","2","0","0","0","0","0","0","3","Lind, Rebecca Ann","43"
"DADM","396","Independent Study in Dent","2758","Dentistry Administration","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","Roucka, Toni Marie","25"
"DOST","331","Oral/Systemc Topcs in Dent I","2758","Dentistry Administration","30","29","6","0","0","0","0","3","0","0","0","0","0","0","0","0","Kawar, Nadia","68"
"ECE","225","Circuit Analysis","2949","Electrical & Computer Engr","6","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Shadmand, Mohammad","14"
"ECE","317","DSP I","2949","Electrical & Computer Engr","7","4","1","1","1","0","0","0","0","0","0","0","0","0","0","1","Cetin, Ahmet Enis","15"
"ENGL","161","Academic Writing II","2492","English","5","4","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Sheldon, Douglas Harold","13"
"ENGL","209","Engl Stud II: 17thC to Today","2492","English","6","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Mufti, Nasser","10"
"ENGL","230","Intro to Film and Culture","2492","English","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Boulay, Katherine","12"
"EPSY","255","Child Dev Contemp Society","2621","Educational Psychology","21","5","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Kelly, Sarai Rodriguez","30"
"GER","217","Intro German Cinema","2291","Germanic Studies","29","11","1","0","3","0","0","0","0","0","2","0","0","0","0","3","Grad Asst","49"
"HIST","101","Western Civ Since 1648","2316","History","27","29","9","4","1","0","0","0","2","0","0","0","0","0","0","1","Abbott, John","73"
