"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BCMG","599","PhD Thesis Research","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","Chronis, Konstantinos","20"
"BHIS","503","Comm Skills in HI","2318","Biomed & Health Info Sciences","17","11","2","0","0","0","0","0","0","0","0","0","0","0","0","2","Lui, Dick Ray","32"
"BHIS","538","Health Care IT Admin","2318","Biomed & Health Info Sciences","8","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","Marcotte, Jill Linda","12"
"BIOS","325","Human Embryology","2453","Biological Sciences","61","22","4","0","4","0","0","0","0","0","0","0","0","0","0","1","Bassett, Andrea Louise","92"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","16"
"CI","482","Testing &Instruct:Bilingualism","2783","Curriculum and Instruction","25","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Rao, Arthi Bhimsen","29"
"COMM","250","Social Media and Society","2493","Communication","8","8","2","1","1","0","0","0","0","0","0","0","0","0","0","1","Meraz, Sharon M","21"
"CS","107","Intro Comp & Programming","2699","Computer Science","4","5","1","0","0","0","0","0","0","0","0","0","0","0","0","2","Bell, John T","12"
"CS","294","Technical Interview Prep Cours","2699","Computer Science","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","Kanich, Chris","23"
"CS","391","Computer Science Practicum","2699","Computer Science","0","0","0","0","0","0","0","0","8","0","0","0","0","9","2","0","Troy, Patrick A","19"
"ECON","221","Macroeconomics","2525","Economics","7","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","12"
"ENDO","620","Endodontics Clinic","2216","Endodontics","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Johnson, Bradford Ray","10"
"ENGL","118","Intro Af Amer Lit, 1760-1910","2363","Black Studies","9","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Clarke, Ainsworth A.","11"
"ENTR","320","Business Internship","2846","Managerial Studies","0","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0","Warner, Tracy L","14"
"EPSY","522","Internship in Early Childhood","2621","Educational Psychology","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Delgado, Christina","13"
"FIN","423","Financial Modeling","2691","Finance","5","2","2","1","0","0","0","0","0","0","0","0","0","0","0","2","Healy, Thomas Charles","12"
"GLAS","290","Topics Asian American Studies","2873","Prog in Global Asian Studies","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Martell, Mark R","19"
"HIM","534","Hlthcre Voc & Clin Classif Sys","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","Ramirez, Gideon","15"
"HIST","235","The Rise and Fall of Communism","2316","History","25","11","0","2","1","0","0","0","0","0","0","0","0","0","0","1","Fidelis, Malgorzata","40"
