"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"COMM","103","Intro to Media","2493","Communication","15","11","4","1","4","0","0","0","0","0","0","0","0","0","0","1","Lind, Rebecca Ann","36"
"COMM","225","Advertising and Society","2493","Communication","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Page, Janis Teruggi","15"
"CS","111","Program Design I","2699","Computer Science","13","5","1","0","1","0","0","0","0","0","0","0","0","0","0","4","Reckinger, Shanon Marie","24"
"CS","480","Database Systems","2699","Computer Science","17","23","11","4","0","0","0","0","0","0","0","0","0","0","0","0","Riazi, Sara","55"
"DAOB","321","Applied Oral and Behav Sci III","2758","Dentistry Administration","37","22","0","0","0","0","0","8","0","0","0","0","0","0","0","0","Chang, Priscilla Pauline","67"
"DIT","331","Integrated Topics I","2758","Dentistry Administration","42","17","9","0","0","0","0","0","0","0","0","0","0","0","0","0","Fang, Qiao","68"
"ED","445","Adolescence & Schools","2208","Education","13","3","0","0","1","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","19"
"ENTR","310","Intro to Entr for BBA Online","2846","Managerial Studies","17","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","Hardy, Florence","24"
"EPSY","257","Adult Dev and Aging","2621","Educational Psychology","13","6","2","2","1","0","0","0","0","0","0","0","0","0","0","0","Weststrate, Nicholas","24"
"EPSY","503","Quantitative Inquiry in Ed","2621","Educational Psychology","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Smith, Everett V","29"
"EPSY","550","Rate Scale&Ques Des&Analy","2621","Educational Psychology","11","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","Smith, Everett V","16"
"FIN","510","Investments","2691","Finance","32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lin, Jerchern","34"
"GER","217","Intro German Cinema","2291","Germanic Studies","19","3","4","0","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","28"
"HIST","255","History of Chicago","2316","History","17","21","15","1","8","0","0","0","3","0","0","0","0","0","0","2","Bui, Long B","67"
"JD","427","Art and Cultural Heritage Law","2984","UIC Law","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Long, Doris Estelle","20"
"ACTG","315","Intermediate Financial Actg I","2656","Accounting","7","12","14","0","0","0","0","0","0","0","0","0","0","0","0","0","Jastrzebski, Ronald J","33"
"AH","100","Intro to Art &Art History","2910","Art History","9","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","15"
"BHIS","499","Info Sources in BHIS","2318","Biomed & Health Info Sciences","27","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Mills, Laura Lynn","37"
"BIOS","420","Genomics","2453","Biological Sciences","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Lynch, Jeremy A","14"
"BLST","100","Introduction to Black Studies","2363","Black Studies","35","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","41"
"CELE","602","Anesthesiology","2258","Anesthesiology","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","Nishioka, Hokuto","3"
"CLER","604","Surgery","2271","Surgery","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","Bartholomew, Amelia M","35"
"CLER","618","Pediatrics","2821","Pediatrics","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","McLauchlan, Heather M.","15"
"CLER","620","Medicine","2554","Internal Medicine","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","Bansal, Saurabh K","14"
"CLJ","101","Intro to Crim, Law, & Justice","2909","Criminology, Law, and Justice","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Matoesian, Greg","11"
"CS","151","Foundations of Computing","2699","Computer Science","7","6","5","3","1","0","0","0","0","0","0","0","0","0","0","0","Reckinger, Scott J","22"
"CS","211","Programming Practicum","2699","Computer Science","8","9","12","0","0","0","0","0","0","0","0","0","0","0","0","0","Reckinger, Scott J","29"
"CS","412","Intro to Machine Learning","2699","Computer Science","16","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zhang, Xinhua","20"
"DAOB","331","Applied Oral and Behav Sci VI","2758","Dentistry Administration","30","32","3","0","0","0","0","3","0","0","0","0","0","0","0","0","Dunlap, Michael A","68"
"DHD","550","Tech Support Univ Design K-12","2871","Disability & Human Development","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Skalitzky, Jennifer Trunk","21"
"ECON","120","Principles of Microeconomics","2525","Economics","9","9","4","0","1","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","23"
"ED","135","Chld & Yth Policy Urb Amer","2208","Education","21","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Lac, Van T","25"
"ED","210","Learning and Instruction","2208","Education","7","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Sriplo, Thitirat","12"
"ENGL","160","Academic Writing I","2492","English","8","3","0","1","1","0","0","0","0","0","9","0","0","0","0","1"," ,","23"
"ENGL","161","Academic Writing II","2492","English","75","16","6","3","29","0","0","0","3","0","0","0","0","0","0","9"," ,","141"
"ENTR","494","Global ENTR Exp: Singapore","2846","Managerial Studies","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","Hogan, Daniel Mark","11"
"EPSY","382","Child, Family, and Comm","2621","Educational Psychology","14","6","0","1","0","0","0","0","1","0","1","0","0","0","0","0","Schutz, Kristine Marie","23"
"FIN","250","Personal Finance","2691","Finance","21","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","Diaz Bianco, Aaron","25"
"FIN","300","Intro to Finance","2691","Finance","21","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Thewissen, James","25"
"FIN","473","Risk Management and Insurance","2672","Information/Decision Sciences","10","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","Lee, Yew-Sing Thomas","20"
"HIM","557","Hlthcr Rev Cycle Mgmt & Comp","2318","Biomed & Health Info Sciences","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Ramirez, Gideon","11"
"HPA","459","Health Inequities in the US","2399","Health Policy & Administration","17","2","0","0","1","0","0","0","0","0","0","0","0","0","0","2","Samson, Linda F","22"
"HPA","461","Information & Decision Support","2399","Health Policy & Administration","22","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Kelly, Annemarie","23"
"ACTG","326","Cost Accounting","2656","Accounting","10","10","9","1","0","0","0","0","0","0","0","0","0","0","0","0","Jastrzebski, Ronald J","30"
"BHIS","541","Health Data Analytics","2318","Biomed & Health Info Sciences","25","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Krive, Jacob","28"
"BIOS","120","Populations & Communities","2453","Biological Sciences","13","7","3","0","1","0","0","0","0","0","0","0","0","0","0","2","Molumby, Alan J","26"
"BIOS","222","Cell Biology","2453","Biological Sciences","40","19","3","0","0","0","0","0","0","0","0","0","0","0","0","2","Warpeha, Katherine Mary","64"
"BIOS","336","Animal Behavior Laboratory","2453","Biological Sciences","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Nelson, Karin Noel","10"
"BLST","101","Intro Black Diaspora Studies","2363","Black Studies","23","2","0","0","1","0","0","0","2","0","0","0","0","0","0","0","LaMothe, Mario Jacques","28"
"BVIS","504","Visual Storytelling in BVIS","2318","Biomed & Health Info Sciences","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lebowicz, Leah Amanda","23"
"BVIS","542","Animation II","2318","Biomed & Health Info Sciences","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Antia-Obong, Amami Elizabeth","14"
"CD","523","Chicago Charette II","2727","Urban Planning and Policy","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Collins, Lydia","11"
"CHEM","122","Matter and Energy","2458","Chemistry","1","1","9","3","1","0","0","0","0","0","0","0","0","0","0","5","Tripa, Cornel Emil","20"
"CHEM","124","Chemical Dynamics","2458","Chemistry","11","20","44","0","3","0","0","0","2","0","0","0","0","0","0","5","Clark, Ginevra","85"
"CLER","616","Obstetrics and Gynecology","2264","Obstetrics & Gynecology","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","Petersen, Nathan J","13"
"CLJ","262","Research Methods II","2909","Criminology, Law, and Justice","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Henricks, Kasey John Patrick","12"
"CLJ","423","Violence","2909","Criminology, Law, and Justice","7","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","Frohmann, Lisa G","12"
"CS","111","Program Design I","2699","Computer Science","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Dey, Drishika","11"
"CS","401","Computer Algorithms I","2610","Math, Statistics, & Comp Scnc","12","22","8","0","1","0","0","0","0","0","0","0","0","0","0","2","Verschelde, Jan","45"
"ECE","317","DSP I","2949","Electrical & Computer Engr","7","10","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Cetin, Ahmet Enis","19"
"ECE","341","Probabil &Rand Proc for Engr","2949","Electrical & Computer Engr","1","2","6","5","0","0","0","0","0","0","0","0","0","0","0","0","Yardimci Cetin, Yasemin","14"
"ECON","120","Principles of Microeconomics","2525","Economics","9","8","1","1","2","0","0","0","1","0","0","0","0","0","0","0","Ahundjanov, Behzod","22"
"EDPS","535","Human Dvlpmnt for School Ldrs","2621","Educational Psychology","15","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Humphries, Marisha Lynnette","16"
"EDPS","544","Research Design in EDPS","2835","Educational Policy Studies","12","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Mayrowetz, David S","15"
"EDPS","568","Education and the Law","2835","Educational Policy Studies","0","0","0","0","0","0","0","12","0","0","4","0","0","0","0","0","Mayrowetz, David S","16"
"ELSI","048","Live, Learn, Grow: Bridge","2692","Tutorium in Intensive English","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","0","Talbi, Kristina","10"
"ENDO","620","Endodontics Clinic","2216","Endodontics","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Johnson, Bradford Ray","11"
