"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","210","Intro Financial Accounting","2656","Accounting","21","19","5","2","2","0","0","0","0","0","0","0","0","0","0","1","McLaughlin, Michael Patrick","50"
"ACTG","474","Actg Information Systems","2656","Accounting","35","48","19","9","5","0","0","0","0","0","0","0","0","0","0","12","Jastrzebski, Ronald J","128"
"ACTG","500","Intro Financial Actg","2656","Accounting","28","31","4","0","1","0","0","0","2","0","0","0","0","0","0","0","Atatsi, Joseph","66"
"ACTG","516","Financial Statement Analysis","2656","Accounting","15","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","McLaughlin, Michael Patrick","23"
"AH","263","Latin Amer Colonial Art","2910","Art History","24","9","4","0","1","0","0","0","0","0","0","0","0","0","0","2","Ortega, Emmanuel","40"
"AHS","102","Intro Clinical Research","2797","Applied Health Sciences Admin","8","4","3","1","1","0","0","0","0","0","0","0","0","0","0","1","Akinola, Olayemi","18"
"ANAT","403","Human Neuroanatomy","2387","Anatomy and Cell Biology","24","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Sharma, Kamal","34"
"ANTH","239","Anth Perspectives Oral Health","2841","Anthropology","12","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Nicholas, Christina Lynne","17"
"ARCH","210","Architecture as Archetype","2911","School of Architecture","7","20","6","3","5","0","0","0","0","0","0","0","0","0","0","3","Materia, Barbara","44"
"ARCH","471","Structures II","2911","School of Architecture","33","15","5","3","1","0","0","0","0","0","0","0","0","0","0","0","Magruder, Robert","57"
"ART","151","Intro to Creative Coding","2583","Art","16","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Kelley-Hudgins, Jared Christopher","19"
"ART","170","Introduction to Filmmaking","2583","Art","11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","2","Wanitwat, Parinda","19"
"ART","230","Topics in Paint:Wet Bodies","2583","Art","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Huda, Aishath","21"
"ART","261","Topics in Analog Photography","2583","Art","7","6","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Keihm, Colleen","15"
"ART","330","Topics in Paint: Translations","2583","Art","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bernblum, Iris R","20"
"ART","402","Senior Projects: Thesis","2583","Art","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bernblum, Iris R","30"
"BA","200","Managerial Communication","2785","Business Administration Admini","53","24","6","1","2","0","0","0","0","0","0","0","0","0","0","3","Andrews, Dean","89"
"BA","200","Managerial Communication","2785","Business Administration Admini","40","34","14","0","1","0","0","0","0","0","0","0","0","0","0","1","Bailey, Lisa","90"
"BA","200","Managerial Communication","2785","Business Administration Admini","7","25","20","5","0","0","0","0","0","0","0","0","0","0","0","0","Schraufnagel, William","57"
