"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ART","470","Adv Moving Image: TIMEFULNESS","2583","Art","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Stratman, Deborah Renee","10"
"BA","289","Business Internship Prog I","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","Bieliauskas, Rita Maria","36"
"BA","320","Civic Engagement","2785","Business Administration Admini","62","3","1","0","2","0","0","0","0","0","0","0","0","0","0","1","Ramos, Norma Elena","69"
"BHIS","540","Essentials Hlth Data Science","2318","Biomed & Health Info Sciences","25","1","0","2","1","0","0","0","1","0","0","0","0","0","0","0","Krive, Jacob","30"
"BIOS","104","Biology for Non-majors","2453","Biological Sciences","9","8","7","0","1","0","0","0","0","0","0","0","0","0","0","3","Muller, Michael T","28"
"BIOS","296","Directed Instruction","2453","Biological Sciences","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Nelson, Karin Noel","11"
"BIOS","326","Embryology Laboratory","2453","Biological Sciences","81","27","6","3","1","0","0","0","0","0","0","0","0","0","0","2","Bassett, Andrea Louise","120"
"BIOS","450","Advanced Microbiology","2453","Biological Sciences","3","7","7","5","1","0","0","0","0","0","0","0","0","0","0","1","Poretsky, Rachel S","24"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","48"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","23","11","5","2","1","0","0","0","0","0","0","0","0","0","0","0","Guidetti, Martina","42"
"BME","475","Neural Engineering I","2437","Biomedical Eng - Engineering","2","15","6","3","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","26"
"BME","538","Numerical Analysis & Bio Syst","2437","Biomedical Eng - Engineering","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Peng, Zhangli","16"
"BVIS","575","Business Practices","2318","Biomed & Health Info Sciences","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Root-Thompson, Amanda S","19"
"BVIS","594","Special Topics in Biomed Vis","2318","Biomed & Health Info Sciences","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Kania, Patrick","12"
"CELE","606","Research-Medicine","2586","Medicine","0","0","0","0","0","0","0","0","0","0","5","0","0","11","0","0","Thomas, Dorian E","16"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","9","11","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","24"
"ACTG","210","Intro Financial Accounting","2656","Accounting","58","51","27","2","1","0","0","0","0","0","0","0","0","0","0","1","Lord Pearson, Eva Marie","140"
"ACTG","456","Business Law II","2656","Accounting","13","10","7","2","1","0","0","0","0","0","0","0","0","0","0","1","Leahy, Edward","34"
"AH","160","Trends in Contemp Art","2910","Art History","12","6","2","2","2","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","26"
"AH","236","History of Design II","2895","School of Design","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Mekinda, Jonathan","11"
"ANTH","216","Medicine, Culture, & Society","2841","Anthropology","55","45","7","3","6","0","0","0","0","0","0","0","0","0","0","6","Gul, Zeynel","122"
"ANTH","319","Environmental Anthropology","2841","Anthropology","10","6","2","0","1","0","0","0","0","0","0","0","0","0","0","1","Campbell, Jacob David","20"
"ARCH","466","Advanced Topic Studio 2","2911","School of Architecture","10","13","5","1","0","0","0","0","0","0","0","0","0","0","0","0","Wheeler, Daniel H","29"
"ART","112","Intro to Drawing(Major Only)","2583","Art","11","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Frid, Dianna","13"
"ART","130","Intro to Painting + Color","2583","Art","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","40"
