"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ART","101","Signifying Practices","2583","Art","30","3","4","1","0","0","0","0","0","0","0","0","0","0","0","2","Majeed, Faheem","40"
"ART","230","Topics in Paint 1: Wet Bodies","2583","Art","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Huda, Aishath","20"
"ART","312","Drawing Topics: Human / Nature","2583","Art","17","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Bernblum, Iris R","19"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","77","12","5","3","3","0","0","0","0","0","0","0","0","0","0","1","Anderson, Stephanie Leigh","101"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","80","19","9","2","8","0","0","0","0","0","0","0","0","0","0","2","Warner, Kimberly","120"
"BA","101","Business First-Year Seminar","2785","Business Administration Admini","81","16","21","9","19","0","0","0","0","0","0","0","0","0","0","4","Schraufnagel, William","150"
"BA","290","Business Ethics for BBA Online","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","63","0","0","0","0","0","Hardy, Florence","63"
"BA","320","Civic Engagement","2785","Business Administration Admini","87","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Walthall, Mary","89"
"BA","494","Leadership: BBA Online","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","Atchley, Cindy J","21"
"BHIS","530","Topics in Hlth Informatics","2318","Biomed & Health Info Sciences","28","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Staley, Corinn","43"
"BIOS","230","Evolution and Ecology","2453","Biological Sciences","73","45","31","7","6","0","0","0","0","0","0","0","0","0","0","7","Chong, Jer Pin","169"
"BIOS","250","Microbio & Application Health","2453","Biological Sciences","28","20","19","15","4","0","0","0","0","0","0","0","0","0","0","1","Mills, Michael","87"
"BIOS","355","Immunology","2453","Biological Sciences","11","11","6","7","8","0","0","0","0","0","0","0","0","0","0","4","Santus, William","47"
"BIOS","443","Animal Physiology Systems Lab","2453","Biological Sciences","98","27","3","1","1","0","0","0","0","0","0","0","0","0","0","1","Daemicke Hansen, Alexandra Kristin","131"
"BIOS","480","Intro to Biostatistics with R","2453","Biological Sciences","16","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Nunez Mir, Gabriela","29"
"ACTG","210","Intro Financial Accounting","2656","Accounting","55","60","34","6","4","0","0","0","0","0","0","0","0","0","0","10","Das, Somnath","169"
"ACTG","494","Fndtns for Sustainable Bus","2656","Accounting","39","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Bonnett, Lisa Kay","43"
"AH","232","Film History I: 1890-WWII","2492","English","14","7","2","3","1","0","0","0","0","0","0","0","0","0","0","1","Burson, Harry","28"
"AH","260","European Art 1750 to 1900","2910","Art History","7","8","8","1","6","0","0","0","0","0","0","0","0","0","0","1","Dubin, Nina","31"
"AHS","102","Intro Clinical Research","2797","Applied Health Sciences Admin","10","5","3","0","3","0","0","0","0","0","0","0","0","0","0","0","Akinola, Olayemi","21"
"AHS","200","Intro Integrated Health","2797","Applied Health Sciences Admin","33","7","6","1","2","0","0","0","0","0","0","0","0","0","0","1","Alve, Mohammad Yeasir Arafat","50"
"AHS","375","Ethics, Law in Health","2797","Applied Health Sciences Admin","76","14","4","1","2","0","0","0","0","0","0","0","0","0","0","2","Swirsky, Eric S","99"
"ANTH","100","Human Adventure","2841","Anthropology","18","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Roosevelt, Anna C","24"
"ANTH","217","Intro to Museum Anthropology","2841","Anthropology","11","8","1","2","1","0","0","0","0","0","0","0","0","0","0","1","Turner-Trujillo, Emma J","24"
"ARCH","200","Architecture and Society","2911","School of Architecture","24","28","11","2","10","0","0","0","2","0","0","0","0","0","0","2","Kelley, Jayne E","79"
"ARCH","365","Architectural Studio 5","2911","School of Architecture","15","28","10","0","0","0","0","0","3","0","0","0","0","0","0","0","Lyster, Clare","56"
"ARCH","465","Advanced Topic Studio 1","2911","School of Architecture","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Greenberg, Nile","15"
"ARCH","465","Advanced Topic Studio 1","2911","School of Architecture","5","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Marullo, Francesco","15"
"ART","140","Intro to Sculpture(Major Only)","2583","Art","15","0","2","1","0","0","0","0","0","0","0","0","0","0","0","2","Majeed, Faheem","20"
"ART","150","Intro to New Media","2583","Art","9","3","0","0","4","0","0","0","0","0","0","0","0","0","0","4","Raaf, Sabrina Kay","20"
"ART","170","Introduction to Filmmaking","2583","Art","32","3","1","0","0","0","0","0","0","0","0","0","0","0","0","4","Grad Asst","40"
"ART","275","Topics in Screenwriting","2583","Art","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Reeder, Jennifer K","20"
"ART","520","Topics Seminar:  Fluxus","2583","Art","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Higgins, Hannah B","20"
"ART","530","Advanced Graduate Critique","2583","Art","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Geissler, Beate","17"
"BA","320","Civic Engagement","2785","Business Administration Admini","89","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Ramos, Norma Elena","90"
"BA","420","Professional Presence","2785","Business Administration Admini","31","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Soriano, Diana Ethel","40"
"BCMG","411","Intro to Biochemistry","2509","Biochem & Molecular Genetics","5","11","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Caffrey, Michael S","19"
"BCMG","595","Student Research Seminars","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","Segev, Nava","27"
"BHIS","505","Ethics&Legal Issues/Hlth Info","2318","Biomed & Health Info Sciences","35","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Swirsky, Eric S","39"
"BHIS","525","Social&Org Issues in Hlth Info","2318","Biomed & Health Info Sciences","28","12","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Lui, Dick Ray","42"
"BIOS","196","Biology Colloquium","2453","Biological Sciences","30","6","2","0","2","0","0","0","0","0","0","0","0","0","0","2","Mason-Gamer, Roberta J","42"
"BIOS","272","Comparative Vertebrate Anatomy","2453","Biological Sciences","5","20","15","8","10","0","0","0","0","0","0","0","0","0","0","7","Nelson, Karin Noel","65"
"ACTG","316","Intermediate Financial Actg II","2656","Accounting","9","24","5","2","0","0","0","0","0","0","0","0","0","0","0","0","McLaughlin, Michael Patrick","40"
"ACTG","470","Ethical Environment Business","2656","Accounting","58","49","10","0","2","0","0","0","0","0","0","0","0","0","0","1","Josephson, Andrew Robert","120"
"AH","100","Intro to Art &Art History","2910","Art History","17","16","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Mericle, Robyn","36"
"AH","100","Intro to Art &Art History","2910","Art History","38","16","9","5","9","0","0","0","0","0","0","0","0","0","0","3","Reeves, Christopher Matthew","80"
"AH","209","Near Eastern Art/Archaeology","2910","Art History","9","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Johnson, Peri","13"
"AH","302","Museum & Exhibition Workshop","2910","Art History","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","Lee, Lisa Yun","20"
"ANTH","394","Race, Coloniality, Climate","2841","Anthropology","7","4","2","0","3","0","0","0","0","0","0","0","0","0","0","0","Doane, Molly","16"
"ARCH","414","Contemporary Practices","2911","School of Architecture","4","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","De Jong, Judith","14"
"ARCH","414","Contemporary Practices","2911","School of Architecture","6","8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Rodriguez, Maria F","15"
"ARCH","465","Advanced Topic Studio 1","2911","School of Architecture","4","8","2","0","0","0","0","0","1","0","0","0","0","0","0","0","Zago, Andrew","15"
"ARCH","561","Architectural Technology I","2911","School of Architecture","15","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Preissner, Paul","18"
"ART","140","Introduction to Sculpture","2583","Art","33","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","39"
"ART","170","Intro to Filmmaking-Major Only","2583","Art","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Hutchinson, Zachary Odell","20"
"ART","240","Topics in Sculpture I","2583","Art","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Peterman, Dan","19"
"ART","274","Animation: Collage and Other","2583","Art","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lopez, Michael","19"
"ASP","096","Independent Study","2923","Academic Center for Excellence","0","0","0","0","0","0","0","0","0","0","0","0","0","91","0","1","Ramirez, Elizabeth","92"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","9","2","5","1","2","0","0","0","0","0","0","0","0","0","0","0","Nelson, Jonathan Dennis","19"
"BA","101","Business Scholars 1st-Year Sem","2785","Business Administration Admini","42","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Whittington, James","46"
"BA","194","Global Career Accelerator","2785","Business Administration Admini","26","1","0","0","2","0","0","0","0","0","0","0","0","0","0","2","Sady, Elizabeth Virginia","31"
"BA","200","Business Communication","2785","Business Administration Admini","36","21","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Haider, Saima","60"
"BA","420","Professional Presence","2785","Business Administration Admini","35","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Warner, Kimberly","39"
"BA","494","Org Change for BBA Online","2785","Business Administration Admini","20","5","5","2","5","0","0","0","0","0","0","0","0","0","0","0","Atchley, Cindy J","37"
"BHIS","499","Info Sources in BHIS","2318","Biomed & Health Info Sciences","53","10","3","0","0","0","0","0","0","0","0","0","0","0","0","1","Mills, Laura Lynn","67"
"BHIS","510","Informatics & Population Hlth","2318","Biomed & Health Info Sciences","9","27","1","1","0","0","0","0","0","0","0","0","0","0","0","3","Czart, Margaret B","41"
"BHIS","520","Hlth Info Syst Analysis & Dsgn","2318","Biomed & Health Info Sciences","33","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Foster, LeRoy","36"
"BIOS","294","Insect Evolution and Diversity","2453","Biological Sciences","25","3","3","0","0","0","0","0","1","0","0","0","0","0","0","0","Molumby, Alan J","32"
"BIOS","365","Human Ecological Systems","2453","Biological Sciences","23","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Minor, Emily","30"
"ACTG","210","Intro Financial Accounting","2656","Accounting","85","96","41","22","1","0","0","0","0","0","0","0","0","0","0","4","Lord Pearson, Eva Marie","249"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","98","68","43","12","1","0","0","0","0","0","0","0","0","0","0","2","Martin, Melissa","224"
"ACTG","316","Intermediate Financial Actg II","2656","Accounting","41","65","20","6","0","0","0","0","0","0","0","0","0","0","0","2","Zhong, Rong","134"
"ACTG","326","Cost Accounting","2656","Accounting","70","46","13","4","3","0","0","0","0","0","0","0","0","0","0","1","Jastrzebski, Ronald J","137"
